,word,freq
0,,2178
1,生活,891
2,梦想,792
3,。,692
4,颜色,594
5,不再,594
6,时间,495
7,互相,495
8,两人,495
9,曾经,495
10,恋爱,396
11,逐渐,396
12,成为,396
13,　,396
14,人生,297
15,晚饭,297
16,爱情,297
17,看着,297
18,只能,297
19,美好,297
20,母亲,297
21,孤独,297
22,手机,297
23,相爱,297
24,诉说,297
25,找,297
26,Florence,297
27,a,297
28,太,198
29,玩,198
30,之后,198
31,，变,198
32,买,198
33,一个人,198
34,每日,198
35,转发,198
36,便是,198
37,工作,198
38,能够,198
39,电话,198
40,声音,198
41,吵闹,198
42,日子,198
43,发现,198
44,世界,198
45,变成,198
46,留下,198
47,耳机,198
48,来到,198
49,显得,198
50,孤单,198
51,音符,198
52,熟悉,198
53,成,198
54,变得,198
55,家庭,198
56,希望,198
57,心中,198
58,不可,198
59,拥抱,198
60,避免,198
61,争吵,198
62,应该,198
63,身边,198
64,:,198
65,),198
66,画风,198
67,玩家,198
68,剧情,198
69,并不,198
70,这款,198
71,the,198
72,will,198
73,and,198
74,in,198
75,谈,198
76,一场,198
77,有些人,198
78,不要,198
79,同居,143
80,言语,143
81,伤疤,99
82,揭,99
83,起来,99
84,该死,99
85,前女友,99
86,也是,99
87,学,99
88,美术,99
89,每一个,99
90,场景,99
91,难过,99
92,真实,99
93,母,99
94,种花,99
95,养鱼,99
96,石头,99
97,画,99
98,艺术,99
99,作品,99
100,抱怨,99
101,（,99
102,爸,99
103,），,99
104,感觉,99
105,开心,99
106,流程,99
107,确实,99
108,短,99
109,足够,99
110,优秀,99
111,花,99
112,一顿,99
113,价钱,99
114,当天,99
115,通关,99
116,以后,99
117,吃,99
118,香,99
119,一首,99
120,诗,99
121,二十五岁,99
122,循规蹈矩,99
123,起床,99
124,刷牙,99
125,吃饭,99
126,上班,99
127,路上,99
128,美好生活,99
129,公司,99
130,机械,99
131,世间,99
132,仿若,99
133,无关,99
134,久远,99
135,歌，,99
136,余韵,99
137,钻,99
138,入,99
139,耳,99
140,唱歌,99
141,遥不可,99
142,打来,99
143,询问,99
144,无力,99
145,应对,99
146,觉得,99
147,过于,99
148,一天一天,99
149,仿若是,99
150,永远不会,99
151,改变,99
152,惊恐,99
153,周末,99
154,打扫,99
155,屋子,99
156,陈年,99
157,物品,99
158,压,99
159,身下,99
160,曾经年,99
161,幼时,99
162,五彩缤纷,99
163,灰白,99
164,涂染,99
165,花纹,99
166,年龄,99
167,长大,99
168,小时候,99
169,公主,99
170,梦，,99
171,成年,99
172,社畜,99
173,朋友们,99
174,分离,99
175,无所事事,99
176,一日,99
177,戴着,99
178,街上,99
179,想,99
180,独自一人,99
181,呆,99
182,家中,99
183,想要,99
184,藏,99
185,人群,99
186,依旧,99
187,故事,99
188,失去,99
189,电源,99
190,摘下,99
191,听到,99
192,天籁,99
193,飘荡,99
194,寻找,99
195,安稳,99
196,内心,99
197,消沉,99
198,花朵,99
199,绽放,99
200,色彩,99
201,相遇,99
202,必不可少,99
203,桥段,99
204,凝视,99
205,相恋,99
206,两个人,99
207,最初,99
208,交谈,99
209,心思,99
210,拼凑,99
211,语言,99
212,心灵,99
213,契合,99
214,传递,99
215,甜蜜,99
216,手段,99
217,醇香,99
218,酒,99
219,深沉,99
220,夜，,99
221,点缀,99
222,亲吻,99
223,。恋爱,99
224,酸,99
225,臭味,99
226,发酵,99
227,单身,99
228,痛苦,99
229,至极,99
230,紧握,99
231,双手,99
232,，凝视,99
233,眼眸,99
234,感染,99
235,我的世界,99
236,绚烂,99
237,至极。,99
238,狗,99
239,窝，,99
240,——音乐学院,99
241,背后,99
242,推,99
243,更进一步,99
244,交集,99
245,——,99
246,爱好,99
247,旅游,99
248,铺满,99
249,地图,99
250,齿轮,99
251,磨合,99
252,必,99
253,免。,99
254,爱恋,99
255,延续,99
256,进一步,99
257,相,99
258,融。,99
259,留,99
260,丢弃,99
261,剩下,99
262,便,99
263,共有,99
264,五彩,99
265,入侵,99
266,灰色,99
267,区域,99
268,。床,99
269,另一边,99
270,空荡,99
271,早饭,99
272,，路,99
273,消遣,99
274,亲昵,99
275,飞速,99
276,只因,99
277,陪伴,99
278,长久,99
279,褪去,99
280,新奇变,99
281,淡漠。,99
282,原本,99
283,妥协,99
284,一人,99
285,坍塌,99
286,一片,99
287,灰白。,99
288,尖锐,99
289,毕竟,99
290,早已,99
291,变样,99
292,美丽,99
293,弹奏,99
294,扭曲,99
295,不堪,99
296,一地,99
297,鸡毛,99
298,凄惨,99
299,相背,99
300,眠,99
301,照片,99
302,无法,99
303,固定,99
304,爱,99
305,形状,99
306,。分手,99
307,下雨,99
308,，心,99
309,伤痛,99
310,独自,99
311,抚慰,99
312,再次,99
313,响起,99
314,平常,99
315,依恋,99
316,消退,99
317,放手,99
318,夜里,99
319,醒来,99
320,记起,99
321,绘画,99
322,填补,99
323,空洞,99
324,重新,99
325,回到,99
326,桌,99
327,前,99
328,举起,99
329,久违,99
330,画笔,99
331,这一次,99
332,创造,99
333,欢迎,99
334,关注,99
335,网易UU,99
336,鉴赏家,99
337,培养,99
338,计划,99
339,优质,99
340,、开,99
341,黑日友、白嫖UU时长卡　,99
342,加速,99
343,S,99
344,team,99
345,社区,99
346,记得,99
347,(,99
348,з,99
349,」,99
350,∠,99
351,纯粹,99
352,表达,99
353,感想,99
354,制作,99
355,精美,99
356,手绘,99
357,细腻,99
358,情感,99
359,准确,99
360,社会,99
361,现状,99
362,青年们,99
363,困境,99
364,爱情、,99
365,描述,99
366,足以,99
367,快速,99
368,进入,99
369,当中,99
370,长，,99
371,大概,99
372,三十分钟,99
373,结局,99
374,处理,99
375,颇为,99
376,理想,99
377,有钱,99
378,闲、,99
379,没,99
380,烦恼,99
381,美满,99
382,平安,99
383,这点,99
384,投射,99
385,惨,99
386,卖,99
387,贵,99
388,对应,99
389,版本,99
390,感兴趣,99
391,试一试,99
392,狗哥。,99
393,感谢你,99
394,观看,99
395,一期,99
396,再见,99
397,想到,99
398,离异,99
399,大叔,99
400,购买,99
401,少女,99
402,短短,99
403,不到,99
404,一小时,99
405,数次,99
406,鸡皮疙瘩,99
407,已经,99
408,说明,99
409,棒,99
410,插画,99
411,风格,99
412,拨动,99
413,时钟,99
414,设定,99
415,赞,99
416,还能,99
417,唤醒,99
418,部分,99
419,沉睡,99
420,记忆,99
421,懂得,99
422,上车不犹豫,99
423,下车,99
424,时,99
425,后悔,99
426,遇到,99
427,Krish，,99
428,更好,99
429,现实,99
430,天赋,99
431,一段,99
432,甜甜,99
433,game,99
434,meet,99
435,Krish,99
436,then,99
437,become,99
438,better,99
439,selfIt's,99
440,pity,99
441,that,99
442,reality,99
443,you,99
444,don't,99
445,have,99
446,Florence's,99
447,"talent,",99
448,nor,99
449,such,99
450,sweet,99
451,love,99
452,:)You,99
453,only,99
454,be,99
455,alone,99
456,busy,99
457,for,99
458,nothing,99
459,like,99
460,beginning.,99
461,下班后,99
462,坐,99
463,毯子,99
464,一个多小时,99
465,活,99
466,很好,99
467,2月14号,99
468,14分,99
469,情人节,99
470,礼物,99
471,奔赴,99
472,佛罗伦萨,99
473,30分钟,99
474,继续,99
475,前行,99
476,一生,99
477,中，,99
478,终究,99
479,过客,99
480,停留,99
481,下来,99
482,，教,99
483,成长,99
484,转身,99
485,离去,99
486,不爱,99
487,细节,99
488,分开,99
489,点滴,99
490,。记住,99
491,时刻,99
492,，日,99
493,出,99
494,日落,99
495,星辰,99
496,够,99
497,真正,99
498,成熟,99
499,逢,99
500,遭遇,99
501,学会,99
502,面对,99
503,苦。,99
504,说服,99
505,想通,99
506,想不通,99
507,事,99
508,似曾,98
509,相识,98
510,碰撞,74
511,、眩晕、,74
512,886！,71
513,碌碌无为,71
514,。In,71
515,悬崖,71
516,，费,55
517,，言语,55
518,同居，,55
519,，母女,55
520,费,44
521,母女,44
522,F,44
523,lorence,44
524,悬崖，,28
525,886,28
526,！,28
527,碌碌,28
528,无为。In,28
529,。碰撞、眩晕、,25
530,似曾相识,1
